id,name,tagline,domain,Location,Employees (Current),Employees: Growth YoY (%),Investment Stage,Last Funding Amount (USD),Investors,LinkedIn Profile (Founders/CEOs),In Energize Affinity,Affinty ID
7250132c-3859-4dce-af65-6422f52bae81,100ms,Live video infrastructure startup,100ms.live,"San Francisco, CA",,,,,,,False,280532061.0
6c66002e-cc67-4b61-9cc3-b283b99ea655,1build,Construction-cost estimation software maker,1build.com,"Mountain View, California",14.0,7.69,Series A,19500000.0,Initialized Capital,,True,224779466.0
f341791c-aaa4-45be-86d7-b054541fca15,1KOMMA5°,Making products and infrastructure necessary for carbon neutral homes,1komma5grad.com,"Hamburg, Germany",620.0,31.36,Series B,52500000.0,LBBW,,True,283677000.0
96819f62-914b-4bca-bd4d-a16475ec913c,1KOMMA5°,Residential electrification products & services provider,1komma5grad.com,"Hamburg, Germany",620.0,31.36,Series B,52500000.0,LBBW,,True,283677000.0
308606c5-a893-4e10-81b7-c0c0a29df046,1mt nation,Developer of nature-based carbon removal projects,,,,,,,,,False,
