name,deal_size,series,tagline,location,investors,domain,date,source
Isometric,$25M,Seed,Carbon removal registry and science platform,UK,"Lowercarbon Capital, Plural",https://isometric.com/,2023-07-24,https://europeantech.substack.com/p/european-tech-weekly-week-29
IMPACT Plus,$2M,Seed,Carbon footprint optimisatoin for digital ad campaigns,France,Elevation Capital Partners,https://www.weareimpactplus.com/,2023-07-24,https://europeantech.substack.com/p/european-tech-weekly-week-29
CarbonChain,$12M,Series A,Carbon accounting platform,UK,"USV, Voyager Ventures",https://www.carbonchain.com/,2023-07-24,https://europeantech.substack.com/p/european-tech-weekly-week-29
PVcase,$100M,Series B,Solar project design,Lithuania,"Highland Europe, Energize",https://pvcase.com/,2023-07-24,https://europeantech.substack.com/p/european-tech-weekly-week-29
Energy Dome,$61M,Series B,Energy Storage,Italy,Various,https://energydome.com/,2023-07-24,https://europeantech.substack.com/p/european-tech-weekly-week-29
Sylvera,$57M,Series B,Carbon credit ratings and insights platform,UK,Balderton,https://www.sylvera.com/,2023-07-24,https://europeantech.substack.com/p/european-tech-weekly-week-29
