Unnamed: 0,id,name,tagline,domain,Location,Investors,Employees (Current),Employees: Growth YoY (%),Investment Stage,Last Funding Amount (USD),LinkedIn Profile (Founders/CEOs),In Energize Affinity,Affinty ID
2850,75ef6191-9c11-4fdd-8913-1e38ef1be7fd,Ocean 14 Capital,Invest in sustainable ocean solutions,ocean14capital.com,Luxembourg,[],,,,,,False,224720347
2851,c24f8d33-4cf1-4d9e-b752-bbc92eba6eb0,Ocean Ledger,AI-powered coastal risk forecasting,ocean-ledger.com,"London, United Kingdom","['Ananda Impact Ventures', 'Silverstrand Capital']",7.0,75.0,Seed,900000.0,Paige Roepers (CEO & Co-Founder): https://linkedin.com/in/paige-roepers-59746117a,True,294741079
2852,e4578a69-7349-4165-a3b2-e0686104695d,Ocean Oasis,Offshore wave-powered desalination technology,oceanoasis.co,"Oslo, Norway","['european executive agency on climate', ' infrastructure and environment']",,,,,,False,268337896
2853,189ab578-2433-44af-af15-42caa1bb766b,Ocean Rainforest,Provider of fully-traceable seaweed products,oceanrainforest.com,Faroe Islands,"[' grantham environmental trust', ' world wildlife fund', ' twynam investments', ' builders vision', 'katapult vc', ' ocean born foundation', ' norðoya íløgufelag']",,,,,,False,224823296
2854,03eacd2f-811e-465d-998a-25d573811752,Oceano Fresco,Sustainable clam business,oceano-fresco.pt,Portugal,['indico capital partners'],,,,,,False,124899268
2855,de6c4c89-62fd-4f54-9742-775543099545,oceanwell,Desalination and water technology developer,,"Los Angeles, CA",['kubota'],,,,,,False,Not in Affinity
2856,50ea4a2b-092c-4a11-a023-a3e09cde4f38,OCELL,Digital twins for forestry management,ocell.io,"Munich, Germany","['Capnamic', 'Bayern Kapital', 'AENU', 'Max Viessmann', 'Summiteer']",51.0,6.25,Series A,10000000.0,"['Christian Decher (Co-Founder): https://linkedin.com/in/christian-decher-b42077100', 'Felix Horvat (Co-Founder): https://linkedin.com/in/felix-horvat-0b5941103', 'David Dohmen (Co-Founder): https://linkedin.com/in/david-dohmen-5328508b']",True,224127561
2857,a5abd95f-1b10-4419-ad0c-e783bdcce8c8,Ocergy,Developer of floating foundations for wind turbines,ocergy.com,"Oakland, CA",['octopus energy'],,,,,,False,279126605
2858,68ddfa72-6b65-49da-b051-d3333d79de40,Ocient,Data analytics software solutions provider,ocient.com,"Chicago, Illinois","['Greycroft', 'In-Q-Tel', 'OCA Ventures', 'Buoyant Ventures', 'Levy Family Partners', 'Wolf Capital Management', 'Riverwalk Capital', 'Hyde Park Angels', 'PSP Partners', 'Gaingels', 'Valor Equity Partners', 'Alumni Venture Group', 'Pritzker Group Venture Capital', 'Undisclosed', 'Massive', 'Solidigm', 'Northwestern Mutual', 'Allstate Strategic Ventures', 'Zelkova', 'Blue Bear Capital']",145.0,-2.03,Series B,132000000.0,"['George Kondiles (Co-Founder; Chief Architect): https://linkedin.com/in/george-kondiles-6b657b6', 'Joe Jablonski (Co-Founder; Chief Product Officer & Product Marketing): https://linkedin.com/in/joejablonski', 'Chris Gladwin (CEO and Co-Founder): https://linkedin.com/in/chris-gladwin-7ba42b']",True,144274729
2859,54b3756a-ed11-4b10-a3d6-3152aaaa396a,OCO Corp,CO2 into chemicals developer,ocochem.com,"Richland, WA","[' inpex corp', ' mih capital management', ' lcy lee family office', ' halliburton labs', 'to vc']",,,,,,False,213994322
2860,9ee1fa8b-6dec-46fb-8653-bc6bfcfd2a14,Octavia Carbon,Direct air capture technology,octaviacarbon.com,"Nairobi, Kenya","[' e4e africa', 'lateral frontiers']",,,,,,False,286154920
2861,f301e109-0809-45d4-9aa4-55789d71ee4c,octet scientific,Producer of battery additives,,"Ohio, IL","['advanced manufacturing fund', ' magnet', 'icig ventures', ' jumpstart ventures', ' bold ventures']",,,,,,False,Not in Affinity
2862,c94e55a4-ff7e-4dc2-916c-c3ba0a449f1b,OctoML,Startup using machine learning to optimize ML models,octoml.ai,"Seattle, WA",['amplify'],,,,,,False,223749793
2863,2641329a-fd31-4436-ad78-fdb1dcb9ddf6,Octopus Ventures,Waste management platform helping brands collect recyclable waste,octopusventures.com,Indonesia,Octopus Group,94.0,-16.07,Series A,112500000.0,"['Alliott Cole (CEO): https://linkedin.com/in/alliottcole', 'Jake Bornstein (CEO Coach / Partner Octopus Coaching Hub): https://linkedin.com/in/jake-bornstein-b27b994', 'Katy Trost (CEO Coach / Partner Octopus Coaching Hub): https://linkedin.com/in/katy-trost-349673a7', 'Carly Fordham (Founder Mentor- First Cheque Fund): https://linkedin.com/in/carly-fordham', 'Rob Day (Founder Mentor - First Check Fund): https://linkedin.com/in/rob-day-b0022720']",True,1695427
2864,a667119f-1585-4586-a518-66b6e208c332,octopus electric vehicles,EV financing provider,,"London, UK",['pollen street capital'],,,,,,False,Not in Affinity
